sample,control_set,n_obs,exposure,control,coef,p
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,webb_exposure_score,rate_sens_rba,-0.218571825650614,0.027227261644625623
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.20325251042926087,1.52990361444697e-4
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,beta_eloundou,wfh_teleworkable,-0.01917163693229354,0.3321105418940081
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,beta_eloundou,rate_sens_rba,-0.2524531108407095,0.01673639492534772
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.21418046914425581,5.865281888879553e-5
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,wfh_teleworkable,0.0065880648542141,0.8277398082979532
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,rate_sens_rba,-0.2509217767917762,0.010585046041136472
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.2183179038758884,2.7897905061546023e-5
aus_l4,rate_sens_rba,1197,(controls only),rate_sens_rba,-0.06946366152450065,0.4862981046336199
aus_l4,rate_sens_rba,1197,ai_product_exposure_score,rate_sens_rba,-0.021991661220054033,0.8165588635514799
aus_l4,rate_sens_rba,1197,felten_exposure_score,rate_sens_rba,-0.11713184231112816,0.17550265448736135
aus_l4,rate_sens_rba,1197,webb_exposure_score,rate_sens_rba,-0.3498933949752939,0.006351992197649501
aus_l4,rate_sens_rba,1197,beta_eloundou,rate_sens_rba,-0.06366888454976959,0.4869649327558353
aus_l4,rate_sens_rba,1197,anthropic_usage_score,rate_sens_rba,-0.033179525416000964,0.7350527128556414
aus_l4,rate_sens_rba_broad,1189,(controls only),rate_sens_rba_broad,0.6869590040881286,0.027143066892327015
aus_l4,rate_sens_rba_broad,1189,ai_product_exposure_score,rate_sens_rba_broad,0.6362402406229772,0.03648532616321794
aus_l4,rate_sens_rba_broad,1189,felten_exposure_score,rate_sens_rba_broad,0.865412284324173,0.02054864287874112
aus_l4,rate_sens_rba_broad,1189,webb_exposure_score,rate_sens_rba_broad,0.9510916623267656,0.010805289053254945
aus_l4,rate_sens_rba_broad,1189,beta_eloundou,rate_sens_rba_broad,0.6895137974335501,0.04927793675864545
aus_l4,rate_sens_rba_broad,1189,anthropic_usage_score,rate_sens_rba_broad,0.5851312100459087,0.04815334776559097
aus_l4,wfh_teleworkable,1176,(controls only),wfh_teleworkable,0.009297192711122853,0.7497139307672298
aus_l4,wfh_teleworkable,1176,ai_product_exposure_score,wfh_teleworkable,0.04076462242151105,0.21076112453599852
aus_l4,wfh_teleworkable,1176,felten_exposure_score,wfh_teleworkable,-0.11169539679883844,0.0029353408788980683
aus_l4,wfh_teleworkable,1176,webb_exposure_score,wfh_teleworkable,0.003268276165389731,0.906604430206704
aus_l4,wfh_teleworkable,1176,beta_eloundou,wfh_teleworkable,0.0687069713176694,0.02002009494076786
aus_l4,wfh_teleworkable,1176,anthropic_usage_score,wfh_teleworkable,0.05536146037475706,0.10304363071447711
aus_l4,runup_from_2019,1197,(controls only),runup_from_2019,-0.17397785199336402,3.2876426252388745e-4
aus_l4,runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.19696261062689388,5.470047147390706e-5
aus_l4,runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.15836959631098013,4.9950364188412406e-5
aus_l4,runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.13936548240269644,0.0012624148072202439
aus_l4,runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.2060772490183224,3.771014663625604e-5
aus_l4,runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.20645021403454783,1.0689818287284514e-4
aus_l4,runup_from_2020,1197,(controls only),runup_from_2020,-0.2860877678245456,0.003169830496578404
aus_l4,runup_from_2020,1197,ai_product_exposure_score,runup_from_2020,-0.2819545421593286,0.0039343520523629875
